participant_id,collection,consent,started_at,consented_at,completed_at,n_trials,user_agent,demo_gender,demo_years_in_vis
M90FNPZWtufAOOCGyhLNGleRsyr1,vis-guidelines-scale-true-run,TRUE,2026-06-09T17:50:16Z,2026-06-09T17:50:28Z,2026-06-09T17:56:41Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",female,10
N0I2dyEsXXcctE2c6wvjppWfNAo2,vis-guidelines-scale-true-run,TRUE,2026-06-19T06:56:34Z,2026-06-19T06:56:55Z,2026-06-19T07:04:53Z,68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:151.0) Gecko/20100101 Firefox/151.0,Male,12
N0qG1qXDzIbkXLtDozdOX7dGjOz2,vis-guidelines-scale-true-run,TRUE,2026-06-18T13:56:18Z,2026-06-18T13:56:56Z,2026-06-18T14:06:09Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Woman,More than 10 years
NIKgxApAh8X87m9atrVSKzjpR1T2,vis-guidelines-scale-true-run,TRUE,2026-06-10T07:41:07Z,2026-06-10T07:41:11Z,2026-06-10T07:53:49Z,68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:151.0) Gecko/20100101 Firefox/151.0,Male,"2,5"
O8snleT9XrMHKTn6FTXBsOHPdMo2,vis-guidelines-scale-true-run,TRUE,2026-06-10T07:40:25Z,2026-06-10T07:40:45Z,2026-06-10T07:46:25Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",male,26
PRbN0lx65XdnUqHcnaHCX12mLlv2,vis-guidelines-scale-true-run,TRUE,2026-06-10T19:08:45Z,2026-06-10T19:16:39Z,2026-06-10T19:50:50Z,68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:150.0) Gecko/20100101 Firefox/150.0,Male,12
TvjzqeUXzJfmrTDVq0BFTXQ9Shs1,vis-guidelines-scale-true-run,TRUE,2026-06-09T17:58:53Z,2026-06-09T18:01:13Z,2026-06-09T18:09:42Z,68,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Male,4 years
V1Q8sMHLdbZBXwml07K0OD7GVup2,vis-guidelines-scale-true-run,TRUE,2026-06-18T07:38:05Z,2026-06-18T07:38:10Z,2026-06-18T07:43:50Z,68,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0,f,20+
VP5zIqhg3wRVAUrqsN9MBXXIw982,vis-guidelines-scale-true-run,TRUE,2026-06-18T09:16:05Z,2026-06-18T09:16:11Z,2026-06-18T09:21:41Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",NA,15
WXdPMj0wifRnq9R2l331X9fjdYO2,vis-guidelines-scale-true-run,TRUE,2026-06-18T11:12:14Z,2026-06-18T11:12:21Z,2026-06-18T11:32:21Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Woman,6 years
YFhFoWQOpYYOX2knT5bGCscFX0l1,vis-guidelines-scale-true-run,TRUE,2026-06-11T06:58:35Z,2026-06-11T06:58:42Z,2026-06-11T07:07:40Z,68,Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0,woman,7
bk73M8zzHof39pqiE07AFyiMCst2,vis-guidelines-scale-true-run,TRUE,2026-06-10T15:23:43Z,2026-06-10T15:23:48Z,2026-06-10T15:30:44Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",he/they,20
cKTBtLGMX1Qw8b0vJGrW4O2n9ZV2,vis-guidelines-scale-true-run,TRUE,2026-06-18T06:02:32Z,2026-06-18T06:03:22Z,2026-06-18T06:13:07Z,68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:151.0) Gecko/20100101 Firefox/151.0,woman,8
eLBFCZqQCHeQ95TSFi4nL3vLQC22,vis-guidelines-scale-true-run,TRUE,2026-06-10T13:03:15Z,2026-06-10T13:03:41Z,2026-06-10T13:08:41Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",female,5
eUrgQmr0EwTfb6BsvSSodp277pB3,vis-guidelines-scale-true-run,TRUE,2026-06-17T17:37:01Z,2026-06-17T17:38:02Z,2026-06-17T17:48:11Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Male,22
fomLXOMNySS0F0EUL4tkHh3UhGA3,vis-guidelines-scale-true-run,TRUE,2026-06-10T15:08:52Z,2026-06-10T15:09:00Z,2026-06-10T15:15:53Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",male,30
hqF7kxth75T6l69o75Bb29FbcWE3,vis-guidelines-scale-true-run,TRUE,2026-06-09T18:38:55Z,2026-06-09T18:41:04Z,2026-06-09T18:50:05Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Female,9
htwCODCoQ5OcWbAhPPX8C7kXSqB2,vis-guidelines-scale-true-run,TRUE,2026-06-09T18:05:10Z,2026-06-09T18:06:51Z,2026-06-09T18:16:29Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Male,4
iJZDg1hItzeLQAWVwpEGJaDQB692,vis-guidelines-scale-true-run,TRUE,2026-06-09T17:54:44Z,2026-06-09T18:01:05Z,2026-06-09T18:50:04Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",male,9
iyYs4ZiEo6P6xOpYNcp9PhljJUe2,vis-guidelines-scale-true-run,TRUE,2026-06-16T06:07:10Z,2026-06-16T06:07:23Z,2026-06-16T06:12:56Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",male,16
jxv3J4OuKOSuH3ZPGEcm8ssEldw2,vis-guidelines-scale-true-run,TRUE,2026-06-15T15:22:02Z,2026-06-15T15:24:26Z,2026-06-15T15:32:55Z,68,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0,male,32
kHbeeSEpqGQKyoWtksWwTEuntIB2,vis-guidelines-scale-true-run,TRUE,2026-06-11T10:52:07Z,2026-06-11T10:52:28Z,2026-06-11T10:59:04Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Safari/605.1.15",Male,15
kywKxyzwnORte9NmEeUFfWU9tM32,vis-guidelines-scale-true-run,TRUE,2026-06-19T13:04:54Z,2026-06-19T13:05:08Z,2026-06-19T13:11:41Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Male,16
o4WTP1K2vdUxynCimDDyKYjm8Gr1,vis-guidelines-scale-true-run,TRUE,2026-06-15T13:01:18Z,2026-06-15T13:01:21Z,2026-06-15T13:08:00Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",male,10
oaRSCOEkIyc8QvVrWL8bSfjIBQz2,vis-guidelines-scale-true-run,TRUE,2026-06-10T18:58:53Z,2026-06-10T18:58:59Z,2026-06-10T19:06:56Z,68,Mozilla/5.0 (X11; Linux x86_64; rv:151.0) Gecko/20100101 Firefox/151.0,female,8
tbmdT0NvgWPfSsC6uBa4f0QAT5r1,vis-guidelines-scale-true-run,TRUE,2026-06-12T09:24:04Z,2026-06-12T09:24:21Z,2026-06-12T09:28:51Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Male,20
uQqjVrY8sOTM2NsfMD560pok94n1,vis-guidelines-scale-true-run,TRUE,2026-06-10T09:10:22Z,2026-06-10T09:10:30Z,2026-06-10T09:24:41Z,68,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:151.0) Gecko/20100101 Firefox/151.0,female,20
uXaqROelC2aBHIp7BXPNXlA1Kjt2,vis-guidelines-scale-true-run,TRUE,2026-06-15T06:45:07Z,2026-06-15T06:45:40Z,2026-06-15T06:50:39Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",Male,5
uk4d2xRKY2SMTaeTFk887l0btJF3,vis-guidelines-scale-true-run,TRUE,2026-06-09T19:29:08Z,2026-06-09T19:29:48Z,2026-06-09T19:37:28Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",Man,5
vpKi3nJxBCM0dlK1pEFTSKn1n7F3,vis-guidelines-scale-true-run,TRUE,2026-06-09T22:01:15Z,2026-06-09T22:01:20Z,2026-06-09T22:13:17Z,68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Male,12
wBaoqAKxtnRljkR0nmXlBgPwIGf1,vis-guidelines-scale-true-run,TRUE,2026-06-09T23:07:13Z,2026-06-09T23:26:17Z,2026-06-09T23:37:07Z,68,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:109.0) Gecko/20100101 Firefox/115.0,male,17
yItR2t01lnRiGNQwneukpvkRlXd2,vis-guidelines-scale-true-run,TRUE,2026-06-18T11:41:32Z,2026-06-18T11:41:46Z,2026-06-18T11:46:12Z,68,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",Male,5
